2026-03-11 15:00:23,070 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:00:25,872 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:00:25,872 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 0
2026-03-11 15:00:59,411 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:01:00,022 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:01:00,022 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 0
2026-03-11 15:01:47,953 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:01:48,595 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:01:48,597 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 0
2026-03-11 15:04:11,729 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:04:12,357 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:04:12,357 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 0
2026-03-11 15:06:05,056 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:06:06,105 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/tong-bi-thu-bao-nhan-dan-phai-la-don-vi-xung-kich-tram-cam-bien-thong-tin-sac-ben-20260311144449522.htm
2026-03-11 15:06:06,493 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/ung-pho-cang-thang-o-trung-dong-viet-nam-da-huy-dong-4-trieu-thung-dau-20260309183402397.htm
2026-03-11 15:06:06,494 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:06:06,495 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 2
2026-03-11 15:06:35,629 | crawler.dantri | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:06:35,936 | crawler.dantri | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/my-lan-dau-tap-kich-tau-chien-bang-ten-lua-dan-dao-5048960.html
2026-03-11 15:06:36,232 | crawler.dantri | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/chien-thuat-mua-dam-iran-dung-trong-don-tra-dua-my-israel-5046228.html
2026-03-11 15:06:36,614 | crawler.dantri | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/tong-bi-thu-bao-nhan-dan-phai-la-don-vi-xung-kich-tram-cam-bien-thong-tin-sac-ben-20260311144449522.htm
2026-03-11 15:06:36,997 | crawler.dantri | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/ung-pho-cang-thang-o-trung-dong-viet-nam-da-huy-dong-4-trieu-thung-dau-20260309183402397.htm
2026-03-11 15:06:36,998 | crawler.dantri | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:06:36,999 | crawler.dantri | Line 52 | INFO | The number of failed URL: 4
2026-03-11 15:07:38,812 | crawler.vietnamnet | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:07:39,348 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/chien-thuat-mua-dam-iran-dung-trong-don-tra-dua-my-israel-5046228.html
2026-03-11 15:07:39,368 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/my-lan-dau-tap-kich-tau-chien-bang-ten-lua-dan-dao-5048960.html
2026-03-11 15:07:39,715 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/ung-pho-cang-thang-o-trung-dong-viet-nam-da-huy-dong-4-trieu-thung-dau-20260309183402397.htm
2026-03-11 15:07:39,745 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://dantri.com.vn/thoi-su/tong-bi-thu-bao-nhan-dan-phai-la-don-vi-xung-kich-tram-cam-bien-thong-tin-sac-ben-20260311144449522.htm
2026-03-11 15:07:39,746 | crawler.vietnamnet | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:07:39,746 | crawler.vietnamnet | Line 52 | INFO | The number of failed URL: 4
2026-03-11 15:08:07,313 | crawler.vietnamnet | Line 60 | INFO | Start crawling urls from urls.txt file...
2026-03-11 15:08:07,789 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/chien-thuat-mua-dam-iran-dung-trong-don-tra-dua-my-israel-5046228.html
2026-03-11 15:08:07,807 | crawler.vietnamnet | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/my-lan-dau-tap-kich-tau-chien-bang-ten-lua-dan-dao-5048960.html
2026-03-11 15:08:07,956 | crawler.vietnamnet | Line 71 | INFO | Saving crawling result into result directory...
2026-03-11 15:08:07,956 | crawler.vietnamnet | Line 52 | INFO | The number of failed URL: 2
